dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2025-01-01","2025-01-02","2024-07-01T01:37:22Z","","459","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","元旦 (強制性公眾假期)","TRANSPARENT"
"2025-01-27T16:00:00Z","2025-01-27T16:00:00Z","2024-07-01T01:37:22Z","","485","","","","2024-04-12T07:05:40Z","","0","CONFIRMED","農曆除夕 (豁免上班)","TRANSPARENT"
"2025-01-29","2025-01-30","2024-07-01T01:37:22Z","","460","","","","2024-04-12T04:26:18Z","","0","CONFIRMED","農曆正月初一 (強制性公眾假期)","TRANSPARENT"
"2025-01-30","2025-01-31","2024-07-01T01:37:22Z","","461","","","","2024-04-12T04:28:07Z","","0","CONFIRMED","農曆正月初二 (強制性公眾假期)","TRANSPARENT"
"2025-01-31","2025-02-01","2024-07-01T01:37:22Z","","462","","","","2024-04-12T04:29:23Z","","0","CONFIRMED","農曆正月初三 (強制性公眾假期)","TRANSPARENT"
"2025-04-04","2025-04-05","2024-07-01T01:37:22Z","","463","","","","2024-04-12T04:34:30Z","","0","CONFIRMED","清明節 (強制性公眾假期)","TRANSPARENT"
"2025-04-18","2025-04-19","2024-07-01T01:37:22Z","","464","","","","2024-04-12T04:32:45Z","","0","CONFIRMED","耶穌受難日 (公眾假期)","TRANSPARENT"
"2025-04-19","2025-04-20","2024-07-01T01:37:22Z","","465","","","","2024-04-12T04:32:32Z","","0","CONFIRMED","復活節前日 (公眾假期)","TRANSPARENT"
"2025-04-21","2025-04-22","2024-07-01T01:37:22Z","","466","","","","2024-04-12T04:33:33Z","","0","CONFIRMED","復活節前日的補假 (補假日)","TRANSPARENT"
"2025-05-01","2025-05-02","2024-07-01T01:37:22Z","","467","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","勞動節 (強制性公眾假期)","TRANSPARENT"
"2025-05-05","2025-05-06","2024-07-01T01:37:22Z","","468","","","","2024-04-12T04:35:14Z","","0","CONFIRMED","佛誕節 (公眾假期)","TRANSPARENT"
"2025-05-31","2025-06-01","2024-07-01T01:37:22Z","","469","","","","2024-04-12T04:37:04Z","","0","CONFIRMED","端午節 (公眾假期)","TRANSPARENT"
"2025-06-02","2025-06-03","2024-07-01T01:37:22Z","","443","","","","2024-04-12T04:52:04Z","","0","CONFIRMED","端午節的補假 (補假日)","TRANSPARENT"
"2025-10-01","2025-10-02","2024-07-01T01:37:22Z","","472","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","中華人民共和國國慶日 (強制性公眾假期)","TRANSPARENT"
"2025-10-02","2025-10-03","2024-07-01T01:37:22Z","","471","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","中華人民共和國國慶日翌日 (公眾假期)","TRANSPARENT"
"2025-10-07","2025-10-08","2024-07-01T01:37:22Z","","470","","","","2024-04-12T04:56:15Z","","0","CONFIRMED","中秋節翌日 (強制性公眾假期)","TRANSPARENT"
"2025-10-29","2025-10-30","2024-07-01T01:37:22Z","","474","","","","2024-04-12T04:57:05Z","","0","CONFIRMED","重陽節 (強制性公眾假期)","TRANSPARENT"
"2025-11-02","2025-11-03","2024-07-01T01:37:22Z","","475","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","追思節 (公眾假期)","TRANSPARENT"
"2025-11-03","2025-11-04","2024-07-01T01:37:22Z","","484","","","","2024-04-12T04:57:59Z","","0","CONFIRMED","追思節的補假 (補假日)","TRANSPARENT"
"2025-12-08","2025-12-09","2024-07-01T01:37:22Z","","477","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","聖母無原罪瞻禮 (公眾假期)","TRANSPARENT"
"2025-12-20","2025-12-21","2024-07-01T01:37:22Z","","483","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","澳門特別行政區成立紀念日 (強制性公眾假期)","TRANSPARENT"
"2025-12-21","2025-12-22","2024-07-01T01:37:22Z","","478","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","冬至 (公眾假期)","TRANSPARENT"
"2025-12-22","2025-12-23","2024-07-01T01:37:22Z","","473","","","","2024-04-12T06:37:12Z","","0","CONFIRMED","澳門特別行政區成立紀念日的補假 (補假日)","TRANSPARENT"
"2025-12-23","2025-12-24","2024-07-01T01:37:22Z","","482","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","冬至的補假 (補假日)","TRANSPARENT"
"2025-12-24","2025-12-25","2024-07-01T01:37:22Z","","480","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","聖誕節前日 (公眾假期)","TRANSPARENT"
"2025-12-25","2025-12-26","2024-07-01T01:37:22Z","","481","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","聖誕節 (公眾假期)","TRANSPARENT"
"2025-12-31T06:30:00Z","2025-12-31T09:45:00Z","2024-07-01T01:37:22Z","","486","","","","2024-04-12T04:19:30Z","","0","CONFIRMED","除夕 (豁免上班)","TRANSPARENT"
"2024-01-01","2024-01-02","2024-07-01T01:37:22Z","","426","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","元旦 (強制性公眾假期)","TRANSPARENT"
"2024-02-09T06:30:00Z","2024-02-09T09:30:00Z","2024-07-01T01:37:22Z","","457","","","","2023-04-04T07:45:51Z","","0","CONFIRMED","農曆除夕 (豁免上班)","TRANSPARENT"
"2024-02-10","2024-02-11","2024-07-01T01:37:22Z","","427","","","","2023-04-03T09:26:38Z","","0","CONFIRMED","農曆正月初一 (強制性公眾假期)","TRANSPARENT"
"2024-02-11","2024-02-12","2024-07-01T01:37:22Z","","428","","","","2023-04-03T09:27:32Z","","0","CONFIRMED","農曆正月初二 (強制性公眾假期)","TRANSPARENT"
"2024-02-12","2024-02-13","2024-07-01T01:37:22Z","","429","","","","2023-04-03T09:35:42Z","","0","CONFIRMED","農曆正月初三 (強制性公眾假期)","TRANSPARENT"
"2024-02-13","2024-02-14","2024-07-01T01:37:22Z","","476","","","","2024-04-12T04:53:52Z","","0","CONFIRMED","農曆正月初一的補假 (補假日)","TRANSPARENT"
"2024-02-14","2024-02-15","2024-07-01T01:37:22Z","","446","","","","2023-04-04T01:11:45Z","","0","CONFIRMED","農曆正月初二的補假 (補假日)","TRANSPARENT"
"2024-03-29","2024-03-30","2024-07-01T01:37:22Z","","431","","","","2023-04-04T01:13:23Z","","0","CONFIRMED","耶穌受難日 (公眾假期)","TRANSPARENT"
"2024-03-30","2024-03-31","2024-07-01T01:37:22Z","","432","","","","2023-04-04T01:14:01Z","","0","CONFIRMED","復活節前日 (公眾假期)","TRANSPARENT"
"2024-04-01","2024-04-02","2024-07-01T01:37:22Z","","433","","","","2023-04-04T01:14:33Z","","0","CONFIRMED","復活節前日的補假 (補假日)","TRANSPARENT"
"2024-04-04","2024-04-05","2024-07-01T01:37:22Z","","430","","","","2023-04-04T01:15:07Z","","0","CONFIRMED","清明節 (強制性公眾假期)","TRANSPARENT"
"2024-05-01","2024-05-02","2024-07-01T01:37:22Z","","434","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","勞動節 (強制性公眾假期)","TRANSPARENT"
"2024-05-15","2024-05-16","2024-07-01T01:37:22Z","","435","","","","2023-04-04T01:16:17Z","","0","CONFIRMED","佛誕節 (公眾假期)","TRANSPARENT"
"2024-06-10","2024-06-11","2024-07-01T01:37:22Z","","436","","","","2023-04-04T01:19:27Z","","0","CONFIRMED","端午節 (公眾假期)","TRANSPARENT"
"2024-09-18","2024-09-19","2024-07-01T01:37:22Z","","437","","","","2023-04-04T01:19:53Z","","0","CONFIRMED","中秋節翌日 (強制性公眾假期)","TRANSPARENT"
"2024-10-01","2024-10-02","2024-07-01T01:37:22Z","","439","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","中華人民共和國國慶日 (強制性公眾假期)","TRANSPARENT"
"2024-10-02","2024-10-03","2024-07-01T01:37:22Z","","438","","","","2023-04-04T03:01:34Z","","0","CONFIRMED","中華人民共和國國慶日翌日 (公眾假期)","TRANSPARENT"
"2024-10-11","2024-10-12","2024-07-01T01:37:22Z","","441","","","","2023-04-04T01:20:41Z","","0","CONFIRMED","重陽節 (強制性公眾假期)","TRANSPARENT"
"2024-11-02","2024-11-03","2024-07-01T01:37:22Z","","442","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","追思節 (公眾假期)","TRANSPARENT"
"2024-11-04","2024-11-05","2024-07-01T01:37:22Z","","451","","","","2023-04-04T02:57:39Z","","0","CONFIRMED","追思節的補假 (補假日)","TRANSPARENT"
"2024-12-08","2024-12-09","2024-07-01T01:37:22Z","","444","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","聖母無原罪瞻禮 (公眾假期)","TRANSPARENT"
"2024-12-09","2024-12-10","2024-07-01T01:37:22Z","","440","","","","2023-04-04T02:59:57Z","","0","CONFIRMED","聖母無原罪瞻禮的補假 (補假日)","TRANSPARENT"
"2024-12-20","2024-12-21","2024-07-01T01:37:22Z","","450","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","澳門特別行政區成立紀念日 (強制性公眾假期)","TRANSPARENT"
"2024-12-21","2024-12-22","2024-07-01T01:37:22Z","","445","","","","2023-04-04T02:35:06Z","","0","CONFIRMED","冬至 (公眾假期)","TRANSPARENT"
"2024-12-23","2024-12-24","2024-07-01T01:37:22Z","","449","","","","2023-04-04T03:04:27Z","","0","CONFIRMED","冬至的補假 (補假日)","TRANSPARENT"
"2024-12-24","2024-12-25","2024-07-01T01:37:22Z","","447","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","聖誕節前日 (公眾假期)","TRANSPARENT"
"2024-12-25","2024-12-26","2024-07-01T01:37:22Z","","448","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","聖誕節 (公眾假期)","TRANSPARENT"
"2024-12-31T06:30:00Z","2024-12-31T09:45:00Z","2024-07-01T01:37:22Z","","458","","","","2023-04-04T07:46:15Z","","0","CONFIRMED","除夕 (豁免上班)","TRANSPARENT"